	 Population Size: 300 	 Vaccination Percentage: 0.7 	 Virus: name Covid 	 mortality rate: 0.5 	 basic reproduction number: 0.5 
 	 Step number: 1 	 Interactions: 1 	 New Infections: 0 
 	 Step number: 1 	 Interactions: 80 	 New Infections: 41 
 	 Step number: 1 	 Interactions: 81 	 New Infections: 42 
 	 Step number: 1 	 Interactions: 82 	 New Infections: 43 
 	 Step number: 1 	 Interactions: 83 	 New Infections: 44 
 	 Step number: 1 	 Interactions: 84 	 New Infections: 45 
 	 Step number: 1 	 Interactions: 85 	 New Infections: 46 
 	 Step number: 1 	 Interactions: 86 	 New Infections: 46 
 	 Step number: 1 	 Interactions: 87 	 New Infections: 46 
 	 Step number: 1 	 Interactions: 88 	 New Infections: 46 
 	 Step number: 1 	 Interactions: 89 	 New Infections: 47 
 	 Step number: 1 	 Interactions: 90 	 New Infections: 48 
 	 Step number: 1 	 Interactions: 91 	 New Infections: 48 
 	 Step number: 1 	 Interactions: 92 	 New Infections: 49 
 	 Step number: 1 	 Interactions: 93 	 New Infections: 50 
 	 Step number: 1 	 Interactions: 94 	 New Infections: 50 
 	 Step number: 1 	 Interactions: 95 	 New Infections: 50 
 	 Step number: 1 	 Interactions: 96 	 New Infections: 50 
 	 Step number: 1 	 Interactions: 97 	 New Infections: 50 
 	 Step number: 1 	 Interactions: 98 	 New Infections: 50 
 	 Step number: 1 	 Interactions: 99 	 New Infections: 50 
 	 Step number: 1 	 Interactions: 100 	 New Infections: 51 
 	 Step number: 1 	 Interactions: 101 	 New Infections: 51 
 	 Step number: 1 	 Interactions: 102 	 New Infections: 52 
 	 Step number: 1 	 Interactions: 103 	 New Infections: 53 
 	 Step number: 1 	 Interactions: 104 	 New Infections: 54 
 	 Step number: 1 	 Interactions: 105 	 New Infections: 54 
 	 Step number: 1 	 Interactions: 106 	 New Infections: 55 
 	 Step number: 1 	 Interactions: 107 	 New Infections: 56 
 	 Step number: 1 	 Interactions: 108 	 New Infections: 57 
 	 Step number: 1 	 Interactions: 109 	 New Infections: 58 
 	 Step number: 1 	 Interactions: 110 	 New Infections: 58 
 	 Step number: 1 	 Interactions: 111 	 New Infections: 58 
 	 Step number: 1 	 Interactions: 112 	 New Infections: 58 
 	 Step number: 1 	 Interactions: 113 	 New Infections: 59 
 	 Step number: 1 	 Interactions: 114 	 New Infections: 60 
 	 Step number: 1 	 Interactions: 115 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 116 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 117 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 118 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 119 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 120 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 121 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 122 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 123 	 New Infections: 61 
 	 Step number: 1 	 Interactions: 124 	 New Infections: 62 
 	 Step number: 1 	 Interactions: 125 	 New Infections: 63 
 	 Step number: 1 	 Interactions: 126 	 New Infections: 63 
 	 Step number: 1 	 Interactions: 127 	 New Infections: 64 
 	 Step number: 1 	 Interactions: 128 	 New Infections: 64 
 	 Step number: 1 	 Interactions: 129 	 New Infections: 65 
 	 Step number: 1 	 Interactions: 130 	 New Infections: 66 
 	 Step number: 1 	 Interactions: 131 	 New Infections: 67 
 	 Step number: 1 	 Interactions: 132 	 New Infections: 68 
 	 Step number: 1 	 Interactions: 133 	 New Infections: 69 
 	 Step number: 1 	 Interactions: 134 	 New Infections: 70 
 	 Step number: 1 	 Interactions: 135 	 New Infections: 71 
 	 Step number: 1 	 Interactions: 136 	 New Infections: 72 
 	 Step number: 1 	 Interactions: 137 	 New Infections: 72 
 	 Step number: 1 	 Interactions: 138 	 New Infections: 72 
 	 Step number: 1 	 Interactions: 139 	 New Infections: 73 
 	 Step number: 1 	 Interactions: 140 	 New Infections: 73 
 	 Step number: 1 	 Interactions: 141 	 New Infections: 74 
 	 Step number: 1 	 Interactions: 142 	 New Infections: 75 
 	 Step number: 1 	 Interactions: 143 	 New Infections: 76 
 	 Step number: 1 	 Interactions: 144 	 New Infections: 76 
 	 Step number: 1 	 Interactions: 145 	 New Infections: 77 
 	 Step number: 1 	 Interactions: 146 	 New Infections: 78 
 	 Step number: 1 	 Interactions: 147 	 New Infections: 79 
 	 Step number: 1 	 Interactions: 148 	 New Infections: 79 
 	 Step number: 1 	 Interactions: 149 	 New Infections: 80 
 	 Step number: 1 	 Interactions: 150 	 New Infections: 80 
 	 Step number: 1 	 Interactions: 151 	 New Infections: 80 
 	 Step number: 1 	 Interactions: 152 	 New Infections: 80 
 	 Step number: 1 	 Interactions: 153 	 New Infections: 80 
 	 Step number: 1 	 Interactions: 154 	 New Infections: 80 
 	 Step number: 1 	 Interactions: 155 	 New Infections: 81 
 	 Step number: 1 	 Interactions: 156 	 New Infections: 82 
 	 Step number: 1 	 Interactions: 157 	 New Infections: 82 
 	 Step number: 1 	 Interactions: 158 	 New Infections: 82 
 	 Step number: 1 	 Interactions: 159 	 New Infections: 83 
 	 Step number: 1 	 Interactions: 160 	 New Infections: 83 
 	 Step number: 1 	 Interactions: 161 	 New Infections: 83 
 	 Step number: 1 	 Interactions: 162 	 New Infections: 84 
 	 Step number: 1 	 Interactions: 163 	 New Infections: 85 
 	 Step number: 1 	 Interactions: 164 	 New Infections: 86 
 	 Step number: 1 	 Interactions: 165 	 New Infections: 86 
 	 Step number: 1 	 Interactions: 166 	 New Infections: 87 
 	 Step number: 1 	 Interactions: 167 	 New Infections: 87 
 	 Step number: 1 	 Interactions: 168 	 New Infections: 88 
 	 Step number: 1 	 Interactions: 169 	 New Infections: 89 
 	 Step number: 1 	 Interactions: 170 	 New Infections: 89 
 	 Step number: 1 	 Interactions: 171 	 New Infections: 89 
 	 Step number: 1 	 Interactions: 172 	 New Infections: 89 
 	 Step number: 1 	 Interactions: 173 	 New Infections: 90 
 	 Step number: 1 	 Interactions: 174 	 New Infections: 91 
 	 Step number: 1 	 Interactions: 175 	 New Infections: 91 
 	 Step number: 1 	 Interactions: 176 	 New Infections: 92 
 	 Step number: 1 	 Interactions: 177 	 New Infections: 92 
 	 Step number: 1 	 Interactions: 178 	 New Infections: 93 
 	 Step number: 1 	 Interactions: 179 	 New Infections: 93 
 	 Step number: 1 	 Interactions: 180 	 New Infections: 94 
 	 Step number: 1 	 Interactions: 181 	 New Infections: 94 
 	 Step number: 1 	 Interactions: 182 	 New Infections: 94 
 	 Step number: 1 	 Interactions: 183 	 New Infections: 95 
 	 Step number: 1 	 Interactions: 184 	 New Infections: 95 
 	 Step number: 1 	 Interactions: 185 	 New Infections: 95 
 	 Step number: 1 	 Interactions: 186 	 New Infections: 95 
 	 Step number: 1 	 Interactions: 187 	 New Infections: 95 
 	 Step number: 1 	 Interactions: 188 	 New Infections: 96 
 	 Step number: 1 	 Interactions: 189 	 New Infections: 97 
 	 Step number: 1 	 Interactions: 190 	 New Infections: 98 
 	 Step number: 1 	 Interactions: 191 	 New Infections: 98 
 	 Step number: 1 	 Interactions: 192 	 New Infections: 98 
 	 Step number: 1 	 Interactions: 193 	 New Infections: 98 
 	 Step number: 1 	 Interactions: 194 	 New Infections: 98 
 	 Step number: 1 	 Interactions: 195 	 New Infections: 99 
 	 Step number: 1 	 Interactions: 196 	 New Infections: 99 
 	 Step number: 1 	 Interactions: 197 	 New Infections: 100 
 	 Step number: 1 	 Interactions: 198 	 New Infections: 101 
 	 Step number: 1 	 Interactions: 199 	 New Infections: 101 
 	 Step number: 1 	 Interactions: 200 	 New Infections: 101 
 	 Step number: 1 	 Interactions: 201 	 New Infections: 102 
 	 Step number: 1 	 Interactions: 202 	 New Infections: 102 
 	 Step number: 1 	 Interactions: 203 	 New Infections: 102 
 	 Step number: 1 	 Interactions: 204 	 New Infections: 103 
 	 Step number: 1 	 Interactions: 205 	 New Infections: 103 
 	 Step number: 1 	 Interactions: 206 	 New Infections: 103 
 	 Step number: 1 	 Interactions: 207 	 New Infections: 103 
 	 Step number: 1 	 Interactions: 208 	 New Infections: 103 
 	 Step number: 1 	 Interactions: 209 	 New Infections: 104 
 	 Step number: 1 	 Interactions: 210 	 New Infections: 104 
 	 Step number: 1 	 Interactions: 211 	 New Infections: 105 
 	 Step number: 1 	 Interactions: 212 	 New Infections: 106 
 	 Step number: 1 	 Interactions: 213 	 New Infections: 106 
 	 Step number: 1 	 Interactions: 214 	 New Infections: 107 
 	 Step number: 1 	 Interactions: 215 	 New Infections: 108 
 	 Step number: 1 	 Interactions: 216 	 New Infections: 109 
 	 Step number: 1 	 Interactions: 217 	 New Infections: 109 
 	 Step number: 1 	 Interactions: 218 	 New Infections: 109 
 	 Step number: 1 	 Interactions: 219 	 New Infections: 110 
 	 Step number: 1 	 Interactions: 220 	 New Infections: 111 
 	 Step number: 1 	 Interactions: 221 	 New Infections: 112 
 	 Step number: 1 	 Interactions: 222 	 New Infections: 112 
 	 Step number: 1 	 Interactions: 223 	 New Infections: 113 
 	 Step number: 1 	 Interactions: 224 	 New Infections: 114 
 	 Step number: 1 	 Interactions: 225 	 New Infections: 115 
 	 Step number: 1 	 Interactions: 226 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 227 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 228 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 229 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 230 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 231 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 232 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 233 	 New Infections: 116 
 	 Step number: 1 	 Interactions: 234 	 New Infections: 117 
 	 Step number: 1 	 Interactions: 235 	 New Infections: 118 
 	 Step number: 1 	 Interactions: 236 	 New Infections: 119 
 	 Step number: 1 	 Interactions: 237 	 New Infections: 120 
 	 Step number: 1 	 Interactions: 238 	 New Infections: 121 
 	 Step number: 1 	 Interactions: 239 	 New Infections: 122 
 	 Step number: 1 	 Interactions: 240 	 New Infections: 123 
 	 Step number: 1 	 Interactions: 241 	 New Infections: 124 
 	 Step number: 1 	 Interactions: 242 	 New Infections: 124 
 	 Step number: 1 	 Interactions: 243 	 New Infections: 125 
 	 Step number: 1 	 Interactions: 244 	 New Infections: 126 
 	 Step number: 1 	 Interactions: 245 	 New Infections: 126 
 	 Step number: 1 	 Interactions: 246 	 New Infections: 126 
 	 Step number: 1 	 Interactions: 247 	 New Infections: 127 
 	 Step number: 1 	 Interactions: 248 	 New Infections: 127 
 	 Step number: 1 	 Interactions: 249 	 New Infections: 128 
 	 Step number: 1 	 Interactions: 250 	 New Infections: 129 
 	 Step number: 1 	 Interactions: 251 	 New Infections: 129 
 	 Step number: 1 	 Interactions: 252 	 New Infections: 130 
 	 Step number: 1 	 Interactions: 253 	 New Infections: 130 
 	 Step number: 1 	 Interactions: 254 	 New Infections: 130 
 	 Step number: 1 	 Interactions: 255 	 New Infections: 130 
 	 Step number: 1 	 Interactions: 256 	 New Infections: 130 
 	 Step number: 1 	 Interactions: 257 	 New Infections: 130 
 	 Step number: 1 	 Interactions: 258 	 New Infections: 130 
 	 Step number: 1 	 Interactions: 259 	 New Infections: 131 
 	 Step number: 1 	 Interactions: 260 	 New Infections: 131 
 	 Step number: 1 	 Interactions: 261 	 New Infections: 132 
 	 Step number: 1 	 Interactions: 262 	 New Infections: 133 
 	 Step number: 1 	 Interactions: 263 	 New Infections: 134 
 	 Step number: 1 	 Interactions: 264 	 New Infections: 135 
 	 Step number: 1 	 Interactions: 265 	 New Infections: 136 
 	 Step number: 1 	 Interactions: 266 	 New Infections: 136 
 	 Step number: 1 	 Interactions: 267 	 New Infections: 137 
 	 Step number: 1 	 Interactions: 268 	 New Infections: 138 
 	 Step number: 1 	 Interactions: 269 	 New Infections: 139 
 	 Step number: 1 	 Interactions: 270 	 New Infections: 139 
 	 Step number: 1 	 Interactions: 271 	 New Infections: 140 
 	 Step number: 1 	 Interactions: 272 	 New Infections: 140 
 	 Step number: 1 	 Interactions: 273 	 New Infections: 140 
 	 Step number: 1 	 Interactions: 274 	 New Infections: 140 
 	 Step number: 1 	 Interactions: 275 	 New Infections: 141 
 	 Step number: 1 	 Interactions: 276 	 New Infections: 142 
 	 Step number: 1 	 Interactions: 277 	 New Infections: 142 
 	 Step number: 1 	 Interactions: 278 	 New Infections: 142 
 	 Step number: 1 	 Interactions: 279 	 New Infections: 143 
 	 Step number: 1 	 Interactions: 280 	 New Infections: 143 
 	 Step number: 1 	 Interactions: 281 	 New Infections: 143 
 	 Step number: 1 	 Interactions: 282 	 New Infections: 144 
 	 Step number: 1 	 Interactions: 283 	 New Infections: 145 
 	 Step number: 1 	 Interactions: 284 	 New Infections: 146 
 	 Step number: 1 	 Interactions: 285 	 New Infections: 147 
 	 Step number: 1 	 Interactions: 286 	 New Infections: 148 
 	 Step number: 1 	 Interactions: 287 	 New Infections: 149 
 	 Step number: 1 	 Interactions: 288 	 New Infections: 149 
 	 Step number: 1 	 Interactions: 289 	 New Infections: 150 
 	 Step number: 1 	 Interactions: 290 	 New Infections: 150 
 	 Step number: 1 	 Interactions: 291 	 New Infections: 151 
 	 Step number: 1 	 Interactions: 292 	 New Infections: 151 
 	 Step number: 1 	 Interactions: 293 	 New Infections: 152 
 	 Step number: 1 	 Interactions: 294 	 New Infections: 153 
 	 Step number: 1 	 Interactions: 295 	 New Infections: 153 
 	 Step number: 1 	 Interactions: 296 	 New Infections: 153 
 	 Step number: 1 	 Interactions: 297 	 New Infections: 153 
 	 Step number: 1 	 Interactions: 298 	 New Infections: 153 
 	 Step number: 1 	 Interactions: 299 	 New Infections: 154 
 	 Step number: 1 	 Interactions: 300 	 New Infections: 154 
 	 Step number: 1 	 Interactions: 301 	 New Infections: 155 
 	 Step number: 1 	 Interactions: 302 	 New Infections: 155 
 	 Step number: 1 	 Interactions: 303 	 New Infections: 156 
 	 Step number: 1 	 Interactions: 304 	 New Infections: 157 
 	 Step number: 1 	 Interactions: 305 	 New Infections: 157 
 	 Step number: 1 	 Interactions: 306 	 New Infections: 157 
 	 Step number: 1 	 Interactions: 307 	 New Infections: 158 
 	 Step number: 1 	 Interactions: 308 	 New Infections: 159 
 	 Step number: 1 	 Interactions: 309 	 New Infections: 159 
 	 Step number: 1 	 Interactions: 310 	 New Infections: 159 
 	 Step number: 1 	 Interactions: 311 	 New Infections: 160 
 	 Step number: 1 	 Interactions: 312 	 New Infections: 161 
 	 Step number: 1 	 Interactions: 313 	 New Infections: 161 
 	 Step number: 1 	 Interactions: 314 	 New Infections: 162 
 	 Step number: 1 	 Interactions: 315 	 New Infections: 162 
 	 Step number: 1 	 Interactions: 316 	 New Infections: 163 
 	 Step number: 1 	 Interactions: 317 	 New Infections: 164 
 	 Step number: 1 	 Interactions: 318 	 New Infections: 164 
 	 Step number: 1 	 Interactions: 319 	 New Infections: 165 
 	 Step number: 1 	 Interactions: 320 	 New Infections: 165 
 	 Step number: 1 	 Interactions: 321 	 New Infections: 166 
 	 Step number: 1 	 Interactions: 322 	 New Infections: 166 
 	 Step number: 1 	 Interactions: 323 	 New Infections: 166 
 	 Step number: 1 	 Interactions: 324 	 New Infections: 166 
 	 Step number: 1 	 Interactions: 325 	 New Infections: 166 
 	 Step number: 1 	 Interactions: 326 	 New Infections: 166 
 	 Step number: 1 	 Interactions: 327 	 New Infections: 167 
 	 Step number: 1 	 Interactions: 328 	 New Infections: 167 
 	 Step number: 1 	 Interactions: 329 	 New Infections: 168 
 	 Step number: 1 	 Interactions: 330 	 New Infections: 169 
 	 Step number: 1 	 Interactions: 331 	 New Infections: 170 
 	 Step number: 1 	 Interactions: 332 	 New Infections: 171 
 	 Step number: 1 	 Interactions: 333 	 New Infections: 171 
 	 Step number: 1 	 Interactions: 334 	 New Infections: 171 
 	 Step number: 1 	 Interactions: 335 	 New Infections: 172 
 	 Step number: 1 	 Interactions: 336 	 New Infections: 172 
 	 Step number: 1 	 Interactions: 337 	 New Infections: 172 
 	 Step number: 1 	 Interactions: 338 	 New Infections: 172 
 	 Step number: 1 	 Interactions: 339 	 New Infections: 173 
 	 Step number: 1 	 Interactions: 340 	 New Infections: 173 
 	 Step number: 1 	 Interactions: 341 	 New Infections: 174 
 	 Step number: 1 	 Interactions: 342 	 New Infections: 175 
 	 Step number: 1 	 Interactions: 343 	 New Infections: 176 
 	 Step number: 1 	 Interactions: 344 	 New Infections: 177 
 	 Step number: 1 	 Interactions: 345 	 New Infections: 178 
 	 Step number: 1 	 Interactions: 346 	 New Infections: 178 
 	 Step number: 1 	 Interactions: 347 	 New Infections: 178 
 	 Step number: 1 	 Interactions: 348 	 New Infections: 178 
 	 Step number: 1 	 Interactions: 349 	 New Infections: 178 
 	 Step number: 1 	 Interactions: 350 	 New Infections: 179 
 	 Step number: 1 	 Interactions: 351 	 New Infections: 179 
 	 Step number: 1 	 Interactions: 352 	 New Infections: 179 
 	 Step number: 1 	 Interactions: 353 	 New Infections: 179 
 	 Step number: 1 	 Interactions: 354 	 New Infections: 180 
 	 Step number: 1 	 Interactions: 355 	 New Infections: 180 
 	 Step number: 1 	 Interactions: 356 	 New Infections: 181 
 	 Step number: 1 	 Interactions: 357 	 New Infections: 181 
 	 Step number: 1 	 Interactions: 358 	 New Infections: 181 
 	 Step number: 1 	 Interactions: 359 	 New Infections: 181 
 	 Step number: 1 	 Interactions: 360 	 New Infections: 181 
 	 Step number: 1 	 Interactions: 361 	 New Infections: 182 
 	 Step number: 1 	 Interactions: 362 	 New Infections: 183 
 	 Step number: 1 	 Interactions: 363 	 New Infections: 183 
 	 Step number: 1 	 Interactions: 364 	 New Infections: 183 
 	 Step number: 1 	 Interactions: 365 	 New Infections: 184 
 	 Step number: 1 	 Interactions: 366 	 New Infections: 184 
 	 Step number: 1 	 Interactions: 367 	 New Infections: 184 
 	 Step number: 1 	 Interactions: 368 	 New Infections: 184 
 	 Step number: 1 	 Interactions: 369 	 New Infections: 184 
 	 Step number: 1 	 Interactions: 370 	 New Infections: 184 
 	 Step number: 1 	 Interactions: 371 	 New Infections: 184 
 	 Step number: 1 	 Interactions: 372 	 New Infections: 185 
 	 Step number: 1 	 Interactions: 373 	 New Infections: 186 
 	 Step number: 1 	 Interactions: 374 	 New Infections: 187 
 	 Step number: 1 	 Interactions: 375 	 New Infections: 188 
 	 Step number: 1 	 Interactions: 376 	 New Infections: 189 
 	 Step number: 1 	 Interactions: 377 	 New Infections: 190 
 	 Step number: 1 	 Interactions: 378 	 New Infections: 191 
 	 Step number: 1 	 Interactions: 379 	 New Infections: 192 
 	 Step number: 1 	 Interactions: 380 	 New Infections: 193 
 	 Step number: 1 	 Interactions: 381 	 New Infections: 193 
 	 Step number: 1 	 Interactions: 382 	 New Infections: 193 
 	 Step number: 1 	 Interactions: 383 	 New Infections: 193 
 	 Step number: 1 	 Interactions: 384 	 New Infections: 193 
 	 Step number: 1 	 Interactions: 385 	 New Infections: 194 
 	 Step number: 1 	 Interactions: 386 	 New Infections: 195 
 	 Step number: 1 	 Interactions: 387 	 New Infections: 195 
 	 Step number: 1 	 Interactions: 388 	 New Infections: 196 
 	 Step number: 1 	 Interactions: 389 	 New Infections: 196 
 	 Step number: 1 	 Interactions: 390 	 New Infections: 197 
 	 Step number: 1 	 Interactions: 391 	 New Infections: 197 
 	 Step number: 1 	 Interactions: 392 	 New Infections: 198 
 	 Step number: 1 	 Interactions: 393 	 New Infections: 199 
 	 Step number: 1 	 Interactions: 394 	 New Infections: 199 
 	 Step number: 1 	 Interactions: 395 	 New Infections: 199 
 	 Step number: 1 	 Interactions: 396 	 New Infections: 200 
 	 Step number: 1 	 Interactions: 397 	 New Infections: 201 
 	 Step number: 1 	 Interactions: 398 	 New Infections: 202 
 	 Step number: 1 	 Interactions: 399 	 New Infections: 202 
 	 Step number: 1 	 Interactions: 400 	 New Infections: 203 
 	 Step number: 1 	 Interactions: 401 	 New Infections: 204 
 	 Step number: 1 	 Interactions: 402 	 New Infections: 205 
 	 Step number: 1 	 Interactions: 403 	 New Infections: 205 
 	 Step number: 1 	 Interactions: 404 	 New Infections: 205 
 	 Step number: 1 	 Interactions: 405 	 New Infections: 205 
 	 Step number: 1 	 Interactions: 406 	 New Infections: 206 
 	 Step number: 1 	 Interactions: 407 	 New Infections: 206 
 	 Step number: 1 	 Interactions: 408 	 New Infections: 206 
 	 Step number: 1 	 Interactions: 409 	 New Infections: 207 
 	 Step number: 1 	 Interactions: 410 	 New Infections: 207 
 	 Step number: 1 	 Interactions: 411 	 New Infections: 208 
 	 Step number: 1 	 Interactions: 412 	 New Infections: 208 
 	 Step number: 1 	 Interactions: 413 	 New Infections: 208 
 	 Step number: 1 	 Interactions: 414 	 New Infections: 209 
 	 Step number: 1 	 Interactions: 415 	 New Infections: 209 
 	 Step number: 1 	 Interactions: 416 	 New Infections: 210 
 	 Step number: 1 	 Interactions: 417 	 New Infections: 211 
 	 Step number: 1 	 Interactions: 418 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 419 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 420 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 421 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 422 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 423 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 424 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 425 	 New Infections: 212 
 	 Step number: 1 	 Interactions: 426 	 New Infections: 213 
 	 Step number: 1 	 Interactions: 427 	 New Infections: 213 
 	 Step number: 1 	 Interactions: 428 	 New Infections: 213 
 	 Step number: 1 	 Interactions: 429 	 New Infections: 213 
 	 Step number: 1 	 Interactions: 430 	 New Infections: 213 
 	 Step number: 1 	 Interactions: 431 	 New Infections: 214 
 	 Step number: 1 	 Interactions: 432 	 New Infections: 215 
 	 Step number: 1 	 Interactions: 433 	 New Infections: 216 
 	 Step number: 1 	 Interactions: 434 	 New Infections: 216 
 	 Step number: 1 	 Interactions: 435 	 New Infections: 217 
 	 Step number: 1 	 Interactions: 436 	 New Infections: 217 
 	 Step number: 1 	 Interactions: 437 	 New Infections: 218 
 	 Step number: 1 	 Interactions: 438 	 New Infections: 218 
 	 Step number: 1 	 Interactions: 439 	 New Infections: 218 
 	 Step number: 1 	 Interactions: 440 	 New Infections: 219 
 	 Step number: 1 	 Interactions: 441 	 New Infections: 220 
 	 Step number: 1 	 Interactions: 442 	 New Infections: 220 
 	 Step number: 1 	 Interactions: 443 	 New Infections: 220 
 	 Step number: 1 	 Interactions: 444 	 New Infections: 221 
 	 Step number: 1 	 Interactions: 445 	 New Infections: 222 
 	 Step number: 1 	 Interactions: 446 	 New Infections: 223 
